002160.SZ,常铝股份,2015-11-02,8.43,10.88,10.96,0.2906287069988139,0.007352941176470594
002161.SZ,远望谷,2016-10-01,13.12,13.4,13.0,0.021341463414634235,-0.029850746268656744
002161.SZ,远望谷,2012-02-09,17.05,17.5,19.88,0.0263929618768328,0.13599999999999995
002162.SZ,悦心健康,2010-04-01,12.53,13.05,10.42,0.041500399042298595,-0.2015325670498085
002165.SZ,红宝丽,2012-07-10,10.75,4.73,4.85,-0.5599999999999999,0.025369978858350784
002167.SZ,东方锆业,2012-11-06,16.24,13.82,11.95,-0.14901477832512305,-0.13531114327062235
002168.SZ,深圳惠程,2015-10-14,8.24,9.75,11.5,0.183252427184466,0.1794871794871795
002168.SZ,深圳惠程,2015-10-14,8.24,9.75,11.5,0.183252427184466,0.1794871794871795
002168.SZ,深圳惠程,2015-08-06,10.1,12.13,8.14,0.2009900990099011,-0.32893652102225884
002168.SZ,深圳惠程,2016-08-23,14.66,14.85,13.92,0.012960436562073636,-0.06262626262626261
002170.SZ,芭田股份,2010-09-18,10.15,13.55,13.48,0.3349753694581281,-0.005166051660516626
002172.SZ,澳洋科技,2016-08-17,11.46,11.94,10.93,0.04188481675392658,-0.0845896147403685
002172.SZ,澳洋科技,2013-08-19,3.94,4.27,4.28,0.08375634517766488,0.0023419203747074182
002172.SZ,澳洋科技,2016-08-17,11.46,11.94,10.93,0.04188481675392658,-0.0845896147403685
002173.SZ,创新医疗,2012-06-19,8.69,8.48,9.57,-0.024165707710011402,0.1285377358490566
002174.SZ,游族网络,2011-06-03,13.91,13.06,16.08,-0.06110711718188351,0.2312404287901989
002174.SZ,游族网络,2017-07-18,30.62,28.58,30.5,-0.06662312214239068,0.06717984604618621
002176.SZ,江特电机,2013-02-07,8.44,8.03,8.49,-0.048578199052132724,0.05728518057285192
002176.SZ,江特电机,2017-05-18,9.88,9.12,8.92,-0.07692307692307708,-0.02192982456140343
002178.SZ,延华智能,2014-04-09,17.78,20.15,17.3,0.1332958380202473,-0.14143920595533488
002179.SZ,中航光电,2016-10-28,40.19,39.45,38.18,-0.01841254043294339,-0.03219264892268702
002180.SZ,纳思达,2016-09-10,31.3,31.1,34.82,-0.006389776357827453,0.1196141479099678
002183.SZ,怡亚通,2013-10-25,9.4,7.78,7.59,-0.1723404255319149,-0.02442159383033424
002184.SZ,海得控制,2016-12-08,24.18,22.75,21.1,-0.05913978494623655,-0.07252747252747246
002191.SZ,劲嘉股份,2014-03-15,18.45,17.22,15.85,-0.0666666666666667,-0.0795586527293844
002194.SZ,武汉凡谷,2010-03-06,20.47,20.35,20.8,-0.00586223742061541,0.022113022113022077
002195.SZ,二三四五,2016-10-28,11.24,11.84,11.99,0.05338078291814943,0.012668918918918949
002195.SZ,二三四五,2011-09-21,17.64,17.61,16.4,-0.0017006802721089079,-0.06871095968199892
002196.SZ,方正电机,2014-11-29,24.8,21.52,15.09,-0.13225806451612906,-0.29879182156133827
002197.SZ,证通电子,2014-08-26,13.79,14.69,16.68,0.06526468455402469,0.13546630360789655
002200.SZ,云投生态,2008-06-03,35.28,47.18,43.81,0.33730158730158727,-0.07142857142857137
002203.SZ,海亮股份,2016-08-06,8.41,7.4,7.54,-0.12009512485136739,0.018918918918918875
002206.SZ,海利得,2014-01-17,5.63,5.8,7.4,0.030195381882770857,0.27586206896551735
002206.SZ,海利得,2017-06-17,7.08,7.28,6.75,0.028248587570621493,-0.07280219780219783
002206.SZ,海利得,2014-01-17,5.63,5.8,7.4,0.030195381882770857,0.27586206896551735
002215.SZ,诺普信,2012-02-07,8.31,9.19,9.48,0.10589651022864006,0.03155603917301425
002215.SZ,诺普信,2015-11-17,17.32,17.66,18.55,0.019630484988452646,0.05039637599094001
002216.SZ,三全食品,2014-02-08,23.9,22.7,20.25,-0.050209205020920473,-0.10792951541850218
002216.SZ,三全食品,2016-09-27,8.76,8.64,9.06,-0.013698630136986212,0.0486111111111111
002219.SZ,恒康医疗,2012-10-30,13.91,13.86,11.75,-0.0035945363048167298,-0.1522366522366522
002221.SZ,东华能源,2010-11-23,12.19,11.0,11.81,-0.09762100082034451,0.07363636363636368
002221.SZ,东华能源,2014-04-04,11.04,11.09,10.89,0.004528985507246441,-0.01803426510369696
002221.SZ,东华能源,2017-06-09,10.98,10.84,11.34,-0.012750455373406244,0.046125461254612546
002224.SZ,三力士,2014-07-09,5.33,5.59,5.89,0.04878048780487801,0.05366726296958852
002225.SZ,濮耐股份,2017-04-21,6.14,5.77,5.47,-0.06026058631921826,-0.05199306759098784
002225.SZ,濮耐股份,2012-08-03,7.76,7.57,7.73,-0.024484536082474164,0.021136063408190242
002225.SZ,濮耐股份,2012-08-03,7.76,7.57,7.73,-0.024484536082474164,0.021136063408190242
002226.SZ,江南化工,2013-06-04,11.46,13.2,11.7,0.15183246073298415,-0.11363636363636365
002227.SZ,奥特迅,2013-09-04,20.58,21.51,32.63,0.04518950437317801,0.5169688516968852
002227.SZ,奥特迅,2013-09-04,20.58,21.51,32.63,0.04518950437317801,0.5169688516968852
002229.SZ,鸿博股份,2016-12-14,24.37,23.58,21.8,-0.03241690603200668,-0.07548770144189981
002230.SZ,科大讯飞,2017-01-16,27.56,26.44,29.28,-0.040638606676342434,0.10741301059001512
002230.SZ,科大讯飞,2011-12-13,39.1,34.2,30.0,-0.12531969309462912,-0.12280701754385973
002230.SZ,科大讯飞,2014-11-11,29.9,30.26,29.2,0.012040133779264314,-0.035029742233972316
002235.SZ,安妮股份,2017-06-09,13.94,11.66,12.53,-0.16355810616929695,0.07461406518010284
002235.SZ,安妮股份,2017-06-09,13.94,11.66,12.53,-0.16355810616929695,0.07461406518010284
002236.SZ,大华股份,2013-11-09,46.8,42.86,40.03,-0.08418803418803414,-0.06602893140457299
002236.SZ,大华股份,2010-06-03,81.3,44.9,48.62,-0.44772447724477243,0.08285077951002225
002241.SZ,歌尔股份,2013-11-28,36.95,39.18,34.77,0.06035182679296337,-0.11255742725880542
002242.SZ,九阳股份,2014-07-19,9.46,9.02,10.48,-0.046511627906976875,0.16186252771618637
